挑选20个特征（所有的特征序号都是从0开始）
特征序号2 特征名称ALogp2 取值范围2.617963140984229~3.4532709031538706
特征序号31 特征名称ATSp1 取值范围1541.6268492966672~2227.9521197185604
特征序号32 特征名称ATSp2 取值范围1693.4215213268624~2777.37600996906
特征序号33 特征名称ATSp3 取值范围3895.3352898332028~4955.784610130998
特征序号34 特征名称ATSp4 取值范围2043.3360045339846~4710.244905512407
特征序号35 特征名称ATSp5 取值范围2578.5259830474415~3914.3315388704373
特征序号105 特征名称ECCEN 取值范围324.55801027613506~391.35774741925655
特征序号145 特征名称nsCH3 取值范围2.143434231500923~2.143434231500923
特征序号274 特征名称SaasC 取值范围0.5269795212067017~0.5269795212067017
特征序号280 特征名称SdNH 取值范围0.013314436883128937~0.035744530799172246
特征序号312 特征名称SdssS 取值范围-0.00010087867529406935~-1.8622920161526224e-06
特征序号623 特征名称ETA_Eta 取值范围20.37429172486001~22.19728504410568
特征序号638 特征名称fragC 取值范围1035.3182252874449~4850.980066014089
特征序号646 特征名称Kier1 取值范围14.56595959170196~14.875672793157149
特征序号652 特征名称MLogP 取值范围3.4949782026768883~3.4949782026768883
特征序号716 特征名称TopoPSA 取值范围27.216027371080862~27.216027371080862
特征序号717 特征名称VABC 取值范围243.24352431285558~323.6356246946709
特征序号719 特征名称MW 取值范围275.5459798211694~337.91509389365126
特征序号720 特征名称WTPT-1 取值范围48.407805657780195~50.359222205031514
特征序号725 特征名称WPATH 取值范围740.1469820455902~1549.8428275181825
